id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-20,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-21,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-25,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-26,,,,,,,,,,,,,,1.0,-0.25,0.75,6.0,,1.0
AS14.01,2014-02-27,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.0,,
AS14.01,2014-02-28,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-01,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-05,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-06,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-12,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-14,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-15,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-16,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-17,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-18,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-19,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-20,0.08154761904761905,3.03665,32.05188235294117,58.476,,,,5.6725,49.617,,45.173,10.536999999999999,,1.0,,,,25.768600082397477,
AS14.01,2014-03-21,0.046408110026313246,4.691907692307693,29.082061224489795,53.024,6.193,,33.88,10.093,53.70869090909091,16.737299999999998,,13.103240000000001,,1.0,0.2,0.2,6.0,37.657696624820154,
AS14.01,2014-03-22,0.15306452471857085,4.84334065934066,25.05678048780488,46.662,7.025333333333333,,,10.094166666666666,36.636,37.305,,26.594,,1.0,0.6,0.38,7.0,28.571803414923515,1.0
AS14.01,2014-03-23,0.13053981536014692,4.473368421052632,30.81074712643678,31.448666666666668,10.85075,,,8.1208,38.200823529411764,,,30.086,30.386,,0.2,0.8,7.0,39.51748353046375,
AS14.01,2014-03-24,0.05548533321356159,3.891212121212121,28.907163934426233,11.714833333333333,5.684333333333334,,3.01,11.093000000000002,36.83202702702703,8.751249999999999,,10.064,,1.0,0.0,0.0,6.0,37.01496629768543,
AS14.01,2014-03-25,0.05238329459640197,4.0372391304347826,31.78645238095238,34.103,10.7635,,,7.92,49.330119999999994,,11.363714285714286,22.2893,,,0.5,0.5,7.0,39.561105753366746,1.0
AS14.01,2014-03-26,0.05658904736889636,4.2712661290322576,26.61989655172414,110.42083333333333,8.721833333333334,,,11.305,47.224133333333334,,,33.365,,,-0.2,0.6,7.0,33.05777419305617,
AS14.01,2014-03-27,0.06314977026592179,4.6998510638297875,27.146113333333332,50.337375,14.073,,10.383272727272727,9.755333333333333,36.730583333333335,23.657,,16.275363636363636,,1.0,0.2,0.8,7.0,40.54841463352606,1.0
AS14.01,2014-03-28,0.04031154453606045,5.29221551724138,24.078694444444444,66.49600000000001,12.738,116.518,,11.5845,25.63705,24.85506666666667,,16.35275,,1.0,-0.6,0.6,7.0,31.137839499815026,
AS14.01,2014-03-29,0.05216924576212633,4.544527027027027,30.58367924528302,49.418749999999996,,,,11.097800000000001,59.111,17.47833333333333,,19.51704347826087,,1.0,0.2,1.0,8.0,31.223588237575438,1.0
AS14.01,2014-03-30,0.049092970521542,4.7873125,24.337222222222223,96.787,,,,8.7268,55.895,,33.2385,38.296,,,-0.5,0.75,8.0,24.471700024604818,
AS14.01,2014-03-31,0.04699082763036437,4.6646,29.39821487603306,41.89787878787879,6.875833333333333,51.176,,12.134285714285713,40.76777272727273,36.6762,29.29,12.370882352941177,,1.0,0.0,0.6,7.0,35.048431193063024,
AS14.01,2014-04-01,0.060346798367930485,3.8526008968609866,28.37908379888268,42.94320833333333,5.950967741935483,78.247,30.796000000000003,8.230333333333332,29.979528846153848,28.856125,,14.53452,,1.0,0.2,0.0,7.0,31.936631909177347,
AS14.01,2014-04-02,0.10191661063822348,4.466841025641026,28.86402,46.32331034482758,6.294764705882352,,,5.5579375,34.853760869565214,,,11.561000000000002,,1.0,0.3,0.6333333333333333,6.0,34.01785427122259,
AS14.01,2014-04-03,0.04923847270844108,3.7569383259911895,29.070432624113472,49.75503846153846,6.516,,,8.710076923076922,34.71030434782609,19.082,,14.059384615384618,,1.0,-1.2,0.0,6.0,28.9906541655461,
