id,time,time_period,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-17,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-17,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-18,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-19,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-19,16-24,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-20,8-16,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-21,8-16,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-02-22,16-24,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-02-25,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-02-26,8-16,,,,,,,,,,,,,,,-1.0,0.5,6.0,,
AS14.01,2014-02-26,16-24,,,,,,,,,,,,,,1.0,0.5,1.0,6.5,,1.0
AS14.01,2014-02-27,8-16,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.333333333333333,,
AS14.01,2014-02-28,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-01,8-16,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-03,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-05,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-06,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-07,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-07,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-10,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-11,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-12,8-16,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-12,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-13,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-13,16-24,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-14,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-14,16-24,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-15,16-24,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-16,16-24,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-17,8-16,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-18,8-16,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.01,2014-03-18,16-24,,,,,,,,,,,,,,,,,,,1.0
AS14.01,2014-03-19,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-20,8-16,,,,,,,,,,,,,,1.0,,,,,
AS14.01,2014-03-20,16-24,0.08154761904761905,5.928071428571429,58.600783783783776,58.476,,,,5.6725,73.43009090909091,,45.173,10.536999999999999,,,,,,252.8826666937934,
AS14.01,2014-03-21,0-8,0.005140027322404363,12.606875,103.402,,,,,,205.502,,,56.323,,,,,,392.243666648864,
AS14.01,2014-03-21,8-16,0.25384356906534333,10.925072368421054,53.032162162162166,58.564875,6.065333333333334,,62.281,19.855166666666666,74.57391666666666,70.41884615384616,,17.2785,,1.0,0.0,0.3333333333333333,6.333333333333333,166.87135820958144,
AS14.01,2014-03-21,16-24,0.144469088664851,24.555711538461537,57.772000000000006,23.47266666666667,6.2696,,54.9625,60.31,51.794799999999995,,,13.12309090909091,,1.0,0.5,0.0,6.0,101.02418182112957,
AS14.01,2014-03-22,8-16,0.2987031698097364,9.60077358490566,57.697799999999994,,7.025333333333333,,,8.615,41.29688888888889,37.305,,26.594,,1.0,1.0,1.0,7.0,50.201861531917864,1.0
AS14.01,2014-03-22,16-24,0.1750572686701799,5.4289756097560975,46.40229411764705,46.662,,,,21.227666666666668,22.653333333333336,,,64.433,,1.0,0.0,-1.0,5.5,44.98499999940394,
AS14.01,2014-03-23,8-16,0.14270056664580372,9.757777777777779,87.11653571428572,,,,,8.14275,26.6695,,,,,,0.0,1.0,7.333333333333333,82.23774193948312,
AS14.01,2014-03-23,16-24,0.1427765963194161,13.887639344262295,39.97222857142857,31.448666666666668,10.85075,,,20.126,52.96875,,,30.086,30.386,,0.5,0.5,6.0,60.34945716176711,
AS14.01,2014-03-24,0-8,0.0,18.889,,,,,,,,,,,,,,,,18.8840000629425,
AS14.01,2014-03-24,8-16,0.15264202531625812,4.855573913043478,44.139493670886075,138.7042857142857,5.015,,3.01,10.85825,90.02123999999999,83.961,,89.366,,1.0,1.6666666666666667,0.0,6.0,91.12797701769856,
AS14.01,2014-03-24,16-24,0.08424114303053576,4.9944137931034485,49.858698275862075,6.041,6.353666666666666,,,11.5625,54.060833333333335,,,,,1.0,-0.5,0.0,6.0,65.74382407356191,
AS14.01,2014-03-25,0-8,0.004310344827586213,6.577692307692308,32.160333333333334,,,,,,58.05866666666666,,,,,,,,,437.50620007514937,
AS14.01,2014-03-25,8-16,0.1876017564486888,9.66784,50.2767012987013,18.066,,,,7.430666666666667,67.9275,,20.0685,14.886199999999999,,,1.0,0.5,6.5,69.78186300029492,1.0
AS14.01,2014-03-25,16-24,0.1032102358952453,11.59665,92.77888235294118,50.14,10.7635,,,52.175666666666665,71.55115384615384,,32.51433333333333,29.6924,,,0.0,0.5,7.0,289.66832652383897,
AS14.01,2014-03-26,0-8,0.003125,5.7506,287.0555,120.373,,,,,96.743,,,,,,,,,83.5499999523163,
AS14.01,2014-03-26,8-16,0.0917884999990627,9.846734375,29.998564356435644,120.45060000000001,6.7250000000000005,,,17.80325,220.5301,,,,,,-0.3333333333333333,0.6666666666666666,6.666666666666667,78.90387368955108,
AS14.01,2014-03-26,16-24,0.20901146501116505,7.820259259259259,50.43529761904762,187.853,10.718666666666666,,,13.1425,87.355375,,,33.365,,,0.0,0.5,6.5,113.77705194733358,
AS14.01,2014-03-27,0-8,0.0010593220338983,7.4058,24.122,36.759,,,,,494.614,,,,,,,,,13.48880004882812,1.0
AS14.01,2014-03-27,8-16,0.35792303942225856,9.050911764705882,36.598484210526316,32.747,,,16.19377777777778,7.6105,46.716499999999996,,,19.5505,,1.0,1.0,1.0,7.0,180.0304142713547,
AS14.01,2014-03-27,16-24,0.16915266106442584,5.27154054054054,53.68021875,100.06539999999998,14.073,,12.235666666666667,14.045000000000002,26.744666666666664,23.657,,15.547555555555554,,,-1.0,0.5,7.0,79.5429500023524,
AS14.01,2014-03-28,0-8,0.0,544.1901176470589,40.5865,65.2775,11.940666666666667,,,,,,,,,,,,,72.77400000890097,
AS14.01,2014-03-28,8-16,0.15441176470588244,8.646450980392157,22.749555555555556,24.433666666666664,,,,33.883,27.58972727272727,68.09275000000001,,35.200714285714284,,1.0,-0.6666666666666666,0.6666666666666666,6.333333333333333,52.72025000507181,
AS14.01,2014-03-28,16-24,0.132682300205478,6.614178571428572,21.07107142857143,133.59116666666668,13.336,116.518,,41.434,23.250444444444444,14.508333333333333,,18.43733333333333,,1.0,-0.5,0.5,6.5,57.030368403384585,
AS14.01,2014-03-29,0-8,0.0,19.138,,,,,,,,,,,,,,,,19.154000043869,
AS14.01,2014-03-29,8-16,0.07048837114338842,4.964066666666667,55.96817647058824,200.4235,,,,34.858000000000004,73.79516666666667,17.47833333333333,,49.7022,,,0.0,1.0,8.0,238.49213331540457,
AS14.01,2014-03-29,16-24,0.13412005916222053,34.31865384615385,44.230824999999996,75.06681818181818,,,,16.255,15.058499999999999,,,18.532947368421052,,1.0,0.3333333333333333,1.0,8.0,98.46012499928464,1.0
AS14.01,2014-03-30,0-8,0.277777777777778,5.2278,28.88433333333333,244.074,,,,,,,33.2385,,,,,,,1609.61800003052,
AS14.01,2014-03-30,8-16,0.0535714285714286,10.914958333333333,35.92371428571429,78.93175,,,,9.108,78.7325,,,,,,-0.3333333333333333,0.6666666666666666,7.666666666666667,96.88653848721434,
AS14.01,2014-03-30,16-24,0.017708333333333375,5.261125,177.23000000000002,243.934,,,,18.7855,10.22,,,38.296,,,-1.0,1.0,7.0,127.23623081354,
AS14.01,2014-03-31,0-8,0.0,19.54,,,,,,,,,,,,,,,,19.5869998931885,
AS14.01,2014-03-31,8-16,0.04128068709013372,6.6755,20.08381818181818,92.246,,51.176,,20.1272,107.47171428571427,41.176,,,,1.0,-0.3333333333333333,0.3333333333333333,7.0,40.809000010393085,
AS14.01,2014-03-31,16-24,0.17023575556003492,23.070027522935778,45.70834579439252,49.200875,6.875833333333333,,,27.986333333333334,35.19723529411765,35.551249999999996,29.29,12.370882352941177,,1.0,0.5,1.0,8.0,132.6703513506296,
AS14.01,2014-04-01,0-8,0.0,7.4062777777777775,96.1578,99.57,,,,,46.25466666666667,,,8.045666666666667,,,,,,107.06560001373289,
AS14.01,2014-04-01,8-16,0.2878328699496553,6.427811023622048,29.257902173913042,79.949,21.7775,78.247,28.764,15.2994,38.532964285714286,115.33007142857143,,20.562458333333332,,,0.6666666666666666,0.6666666666666666,6.666666666666667,101.51343617794366,
AS14.01,2014-04-01,16-24,0.06749685818855278,4.540333333333334,33.59781609195402,23.214,11.937333333333333,,31.812,14.897666666666666,53.79327450980392,,,,,1.0,-0.5,-1.0,5.0,77.98148353021217,
AS14.01,2014-04-02,0-8,0.01281145878603505,4.727,19.851294117647058,27.181,,,,,60.185,,,28.396,,,,,,57.647400029500275,
AS14.01,2014-04-02,8-16,0.2041416106911474,24.594630630630633,24.675292929292926,47.56561111111111,11.853499999999999,,90.481,23.232899999999997,56.89837142857143,,,27.05922222222222,,,1.0,0.5,6.5,59.55965288808523,
AS14.01,2014-04-02,16-24,0.08879676243748802,8.874213483146066,46.514943820224715,48.092555555555556,16.3656,,,25.62766666666667,81.00964705882353,,,11.573666666666668,,1.0,-1.0,1.0,6.5,147.63424444463521,
AS14.01,2014-04-03,0-8,0.0078125,5.711318181818182,72.9222857142857,,,,,,69.75166666666667,,,46.444,,,,,,130.38812503218648,
AS14.01,2014-04-03,8-16,0.09491332549969135,11.75876282051282,43.546751381215465,37.44265,25.41133333333333,,,15.130846153846154,62.140625,,,9.366666666666667,,1.0,-1.3333333333333333,0.3333333333333333,6.666666666666667,66.11838121440529,
AS14.01,2014-04-03,16-24,0.044989592625631875,4.819306666666666,46.09864220183486,90.79633333333334,,,,8.6005,30.350146341463415,19.082,,12.025333333333334,,1.0,-1.0,-0.5,6.0,106.21902532517156,
AS14.01,2014-04-04,0-8,0.0010416666666666625,5.0505,69.1556,83.2995,,,,,131.312,,,,,,,,,10.76150012016295,
AS14.01,2014-04-04,8-16,0.14435412192476407,6.170149532710281,53.92303571428572,90.92618181818182,,,,8.616249999999999,72.73528571428571,22.60585714285714,,14.268799999999999,,,0.0,0.3333333333333333,6.0,88.38234720296332,
AS14.01,2014-04-04,16-24,0.23467214503054667,16.945438356164384,34.13161290322581,126.14666666666666,,,,35.583999999999996,49.33227272727272,,,7.1685,,1.0,0.5,0.5,6.5,74.9294875144959,1.0
AS14.01,2014-04-05,0-8,0.008475184945773187,861.7262941176472,17.104,,,,,,,,,17.05,,,,,,13.178500016530363,
AS14.01,2014-04-05,8-16,0.12511255608438068,3.834264705882353,30.069200000000002,76.369,,,,13.0134,73.0325,31.324166666666667,,11.6325,,,-0.6666666666666666,0.6666666666666666,7.0,80.41643752157691,
AS14.01,2014-04-05,16-24,0.22341916558018265,9.035190476190476,44.63632142857143,,,,,8.033,36.1905,,,16.0555,,,0.0,0.5,6.5,54.1607428414481,
AS14.01,2014-04-06,0-8,0.1424298532972511,6.2752954545454545,44.97424,,,,,,21.117,,,,,1.0,,,,24.50610810357171,
AS14.01,2014-04-06,8-16,0.016016586991163238,44.139611111111115,40.07047826086957,93.607,,,,31.7915,89.082,,,9.541,,1.0,0.0,0.0,6.0,73.36487998962406,
AS14.01,2014-04-06,16-24,0.034776958038990086,49.69487037037037,59.534818181818174,,,57.203,,13.88425,33.097,,,9.055666666666667,,,-1.0,0.6666666666666666,6.666666666666667,162.98186207639753,
AS14.01,2014-04-07,0-8,0.0,7.531499999999999,50.26233333333334,,9.2256,,,,187.861,,,,,,,,,15.158666610717765,
AS14.01,2014-04-07,8-16,0.10460528046786814,7.6250140845070415,60.156285714285715,154.7005,,,17.107,21.5148,81.013875,60.247,,65.72200000000001,,,-1.0,0.5,6.5,87.35420001203366,
AS14.01,2014-04-07,16-24,0.0474065830550855,6.2137199999999995,55.28012987012987,34.43,,,,20.924666666666667,32.256071428571424,,,37.1835,,1.0,-0.5,0.0,6.5,78.06912498921152,
AS14.01,2014-04-08,0-8,0.011645299145299137,8.975090909090909,94.97099999999999,578.14075,,,,159.102,85.906,,,,,,,,,259.7423333128292,
AS14.01,2014-04-08,8-16,0.11846916030854648,5.84353947368421,32.40343434343434,73.48155555555554,,,,6.5752500000000005,81.07009090909091,,,14.071,,,0.0,1.0,7.0,60.98670477185931,
AS14.01,2014-04-08,16-24,0.09586671533019987,4.256406779661017,66.08338043478261,61.57275,6.377,,,12.0555,30.69305,,,22.072,,1.0,-1.0,-1.0,6.0,58.743368432396345,
AS14.01,2014-04-09,0-8,0.0,45.44973333333334,50.799,,,,,,27.098,,,,,,,,,135.1081666946411,
AS14.01,2014-04-09,8-16,0.21607752018936233,5.023493827160494,26.17624719101124,62.59411111111111,,,,57.7818,45.39480952380953,,,19.348,,,-0.6666666666666666,1.0,7.666666666666667,52.67549484292258,
AS14.01,2014-04-09,16-24,0.14507482340762393,7.332906666666666,52.7576338028169,125.80766666666666,,,,19.24833333333333,43.95145238095238,,,139.50275,,1.0,-1.0,1.0,7.0,77.93996939853749,
AS14.01,2014-04-10,0-8,0.03927853192559075,7.802499999999999,175.67478571428572,443.13899999999995,,,,,,,,24.581666666666667,,,,,,250.9010624438526,
AS14.01,2014-04-10,8-16,0.13396409183508112,5.156877192982456,35.74378723404256,86.17949999999999,,1.059,23.195,18.536,38.83181481481482,,,19.675,,1.0,-0.3333333333333333,0.6666666666666666,7.0,71.30607844334023,
AS14.01,2014-04-10,16-24,0.06364669182400132,8.5847,53.00042857142857,51.01671428571428,,,,5.079666666666667,42.086000000000006,,,27.263857142857145,,1.0,-0.5,1.0,8.0,65.80287998199468,
AS14.01,2014-04-11,0-8,0.0,19.05,,,,,,,,,,,,,,,,19.0450000762939,
AS14.01,2014-04-11,8-16,0.09760616145470759,33.820164705882355,27.61921153846154,54.422,,,,10.751666666666665,22.069000000000003,,,13.0745,,,-1.3333333333333333,1.0,7.0,48.18558822893629,
