id,activity(t-5),attr1(t-5),attr2(t-5),circumplex.arousal(t-5),circumplex.valence(t-5),mood(t-5),activity(t-4),attr1(t-4),attr2(t-4),circumplex.arousal(t-4),circumplex.valence(t-4),mood(t-4),activity(t-3),attr1(t-3),attr2(t-3),circumplex.arousal(t-3),circumplex.valence(t-3),mood(t-3),activity(t-2),attr1(t-2),attr2(t-2),circumplex.arousal(t-2),circumplex.valence(t-2),mood(t-2),activity(t-1),attr1(t-1),attr2(t-1),circumplex.arousal(t-1),circumplex.valence(t-1),mood(t-1),activity(t),attr1(t),attr2(t),circumplex.arousal(t),circumplex.valence(t),mood(t)
AS14.01,0.081547619047619,2092.50622,609.6014899999999,0.0333333333333333,0.8434999999999999,7.0,0.0464081100263132,4356.65017,4245.48686,0.2,0.2,6.0,0.1530645247185708,2665.32585,953.03515,0.6,0.5,7.0,0.1305398153601469,3295.56169,1134.856,0.2,0.8,7.0,0.0554853332135615,6474.83035,2029.44045,0.0,0.0,6.0,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0
AS14.01,0.0464081100263132,4356.65017,4245.48686,0.2,0.2,6.0,0.1530645247185708,2665.32585,953.03515,0.6,0.5,7.0,0.1305398153601469,3295.56169,1134.856,0.2,0.8,7.0,0.0554853332135615,6474.83035,2029.44045,0.0,0.0,6.0,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0
AS14.01,0.1530645247185708,2665.32585,953.03515,0.6,0.5,7.0,0.1305398153601469,3295.56169,1134.856,0.2,0.8,7.0,0.0554853332135615,6474.83035,2029.44045,0.0,0.0,6.0,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0
AS14.01,0.1305398153601469,3295.56169,1134.856,0.2,0.8,7.0,0.0554853332135615,6474.83035,2029.44045,0.0,0.0,6.0,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0
AS14.01,0.0554853332135615,6474.83035,2029.44045,0.0,0.0,6.0,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0
AS14.01,0.0523832945964019,4648.5054900000005,1844.45881,0.5,0.5,7.0,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0
AS14.01,0.0565890473688963,5788.575449999998,1998.84075,-0.2,0.6,7.0,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0
AS14.01,0.0631497702659217,4887.9238700000005,1303.4048699999998,0.2,0.8,7.0,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0
AS14.01,0.0403115445360604,2160.824,1310.55378,-0.6,0.6,7.0,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0
AS14.01,0.0521692457621263,2596.73014,1283.8654,0.2,1.0,8.0,0.049092970521542,1770.19863,454.83335,-0.5,0.75,8.0,0.0469908276303643,5259.311000000001,1903.98206,0.0,0.6,7.0,0.0603467983679304,6625.464999999999,4400.015090000001,0.2,0.0,7.0,0.1019166106382234,8200.26146,2673.04842,0.3333333333333333,0.6666666666666666,6.0,0.049238472708441,10566.37222,3454.91607,-1.2,0.0,6.0
